cell_name,cassette_idx,target_site,state0_prob,state1_prob,state2_prob,state3_prob,state4_prob,state5_prob,state6_prob,state7_prob,state8_prob
4T1_preedited-3467,0,0,-93.1676165435261,-84.565285184653,-60.50812684247335,-112.31514454565094,-102.77574783674956,-81.1687968646895,-87.60873714679775,-120.44382283179277,-86.75426404531663
4T1_preedited-1697,0,0,-70.01871351667438,-65.49051431209384,-53.18746632170094,-67.86511176103902,-67.10874819362951,-63.29224323336219,-67.41718989964913,-63.77127750862455,-62.176870222593166
4T1_preedited-1818,0,0,-70.74065035216415,-66.2533399079459,-57.13362988791823,-66.88894882133539,-65.10293859960987,-67.82131104960409,-66.62879231146606,-67.51317954518947,-66.95628076692161
4T1_preedited-1843,0,0,-60.3779632987075,-59.56618134287065,-50.844055143717256,-58.96124542880572,-58.267255390322525,-58.466572774789896,-58.36835397487877,-58.553473807803876,-58.62429353796572
4T1_preedited-1848,0,0,-57.01010167519049,-56.14623593024894,-51.63267313722533,-56.14252259586583,-55.11518926500455,-55.285095738653716,-55.61020893584657,-55.955587442317345,-56.479843133481566
4T1_preedited-1892,0,0,-74.23828504328046,-62.14272812950072,-57.55211723751073,-60.09034203145028,-64.77939455991333,-64.89045976713929,-68.59088454563702,-64.74994435642141,-65.76092758733668
4T1_preedited-1935,0,0,-59.11530741283411,-58.17858380502949,-51.70355812452745,-57.950812834030856,-57.12793180897214,-57.19912272469347,-57.77701313250684,-56.86066128483471,-58.39878194374394
4T1_preedited-2007,0,0,-59.43250059770789,-59.674697379679465,-55.06079111503661,-60.403479948446254,-59.89550214313949,-59.72283118343693,-56.9632357865203,-58.81083641516597,-60.332985893309285
4T1_preedited-2120,0,0,-62.2587093312113,-60.025505834981274,-51.92398207353467,-59.53315089814902,-58.28152249311177,-59.63899635041298,-59.8036123788018,-59.856859277191774,-60.228143617943104
4T1_preedited-2138,0,0,-64.87095696128122,-62.29261186693058,-51.15447119492386,-61.78986124590927,-60.472080699041165,-61.386799442137686,-62.57525439811336,-61.73160290622016,-61.57123134702186
4T1_preedited-2212,0,0,-76.31661046845002,-63.89889877139254,-56.30297448181494,-73.61995540803446,-75.53521268903617,-71.33936551316415,-75.62541050352864,-80.3825010210486,-77.29501680961329
4T1_preedited-2242,0,0,-57.57168504206378,-57.63953867686356,-52.30829638594873,-57.7036121906983,-57.47092766484233,-56.97729148420811,-56.61876833089487,-56.2891996944455,-56.745472281926304
4T1_preedited-2369,0,0,-65.79032555960383,-62.130685258143856,-51.79065707488692,-62.97208737708765,-61.34582492664019,-60.448812266195816,-61.35026635159666,-61.9637202704833,-61.07960138713015
4T1_preedited-2512,0,0,-70.67484475751709,-63.36096720119664,-54.48668747536422,-68.32369958115753,-66.10370971984433,-66.67801430915416,-68.42229992592236,-63.70870312608347,-65.48145761437468
4T1_preedited-1696,0,0,-90.93912157226289,-84.97862982750142,-61.23090474631109,-86.79793080153587,-81.22185062645582,-73.52418319905583,-87.47606610334924,-87.58795765870056,-74.0491766721093
4T1_preedited-2568,0,0,-106.64908646046884,-72.8945125283355,-56.160180432381786,-88.10053068707265,-96.77287959168375,-77.81861289318744,-85.65389445446834,-105.74870739393342,-79.2494510661118
4T1_preedited-2666,0,0,-68.31714759685727,-64.1276984123166,-51.50831594201172,-63.82054863708554,-61.25666344297417,-63.35336695535317,-62.7094993233976,-64.89116301998787,-62.75615441513289
4T1_preedited-2680,0,0,-66.82411748050086,-61.968112954897286,-52.05191588663626,-62.63650370801702,-60.65810253487364,-61.25806784120849,-60.91772179168503,-62.091313643871786,-62.177890672710944
4T1_preedited-2716,0,0,-60.903808406506144,-60.2594798414199,-50.92900394179768,-60.00052207976333,-58.72699489420809,-58.9214197057222,-58.44054081389318,-59.768605413279445,-59.03575497658903
4T1_preedited-2742,0,0,-108.70312198772416,-107.84013406629904,-58.60916431115831,-135.61787745186894,-140.42059825883717,-94.33103737003567,-88.36738850027817,-149.11518189310516,-122.0717306764466
4T1_preedited-2762,0,0,-88.57959583172291,-65.44058171247647,-54.91725119516188,-84.25167026319423,-79.93812365590877,-65.15825195178319,-82.19194192365504,-87.77650107596054,-73.55724497279336
4T1_preedited-2811,0,0,-65.61900242629301,-64.3407689569156,-54.21952851646362,-65.54676694822982,-63.68412359152386,-63.76996629706481,-64.44902625508549,-63.29162859629203,-61.7422226830535
4T1_preedited-2820,0,0,-67.5803418594853,-67.05614324095006,-61.154699195820534,-68.36593715545504,-64.07946173604633,-66.19959957982012,-68.6704427310434,-63.370901077841445,-64.75671480767247
4T1_preedited-3049,0,0,-58.4410026207699,-58.15264502312612,-50.23889392491581,-57.65235478181535,-57.24191291023192,-56.95742638342193,-56.802784439703,-57.324980777535295,-57.608376653742724
4T1_preedited-3066,0,0,-60.34446183587845,-58.62858298422587,-53.08832612730952,-57.992386888268165,-59.72054532988921,-58.78365369612084,-59.690614681538186,-58.03997413850367,-58.47482767245185
4T1_preedited-3176,0,0,-73.13955642139715,-65.6505245452608,-52.39040716016309,-71.04080991173234,-69.02326729811938,-65.52395799860456,-69.30195855906368,-65.98089954374525,-65.4728374386255
4T1_preedited-3203,0,0,-156.73112775035395,-162.27727640150468,-67.94688215163143,-184.74254255951922,-177.92185939742512,-158.76657028461455,-145.96637327434897,-172.02954783306458,-154.87349418295221
4T1_preedited-3261,0,0,-85.40767122822825,-65.19213370120768,-52.451022747068485,-82.85857002603527,-80.87874683908905,-71.27663933477476,-73.118135757691,-83.8817682043832,-72.38730673730284
4T1_preedited-3262,0,0,-57.734829970956135,-56.500626974982815,-52.60031741518686,-56.574485163941304,-55.866711356165204,-56.10324212297441,-56.614658916851525,-56.189362607086146,-56.41217221097994
4T1_preedited-2644,0,0,-70.3186834497306,-67.09624264482636,-54.18234695296546,-67.92174941648636,-66.53685520840538,-66.18160556610148,-67.57947039895681,-62.75517734469887,-63.394350029302984
4T1_preedited-3301,0,0,-60.448049887827345,-60.42857727977841,-55.916734210460206,-61.28597656960014,-60.85063915215883,-56.50388629388983,-60.539252080089014,-60.02934209282613,-59.22559593163601
4T1_preedited-1684,0,0,-55.89342774231195,-55.27611914932407,-52.03494835758849,-55.391819451332935,-55.10033766042636,-54.861265171600344,-55.17644217538669,-54.69891855401624,-54.82652108881157
4T1_preedited-1290,0,0,-58.76098276707652,-58.2215822575095,-53.37713392779973,-58.99399818581415,-58.657056322969794,-58.445797109780536,-57.28025220245744,-58.31939090242705,-58.371365402415336
4T1_preedited-8598,0,0,-93.91809755364048,-76.37216971814472,-62.00890626915772,-101.76417976094731,-109.27557286345092,-64.10014585425098,-83.64156915573321,-96.91119530541081,-91.97579301062017
4T1_preedited-8573,0,0,-59.02246444656234,-58.147719783998056,-51.654827309533516,-57.877658581804326,-58.0479053157207,-57.77030053528919,-57.22168698282498,-57.500896719034536,-57.82890786978208
4T1_preedited-8539,0,0,-58.299690495459274,-58.89653242521239,-54.1360170419067,-59.767134981246784,-58.87108304841313,-57.486118854113826,-57.160045938033825,-58.14755083072014,-57.83197003234448
4T1_preedited-8536,0,0,-75.39947863562809,-68.81215769471314,-56.764413509226756,-73.20624197021462,-70.61654293925463,-69.57724574389388,-69.6016569577618,-74.70827519216395,-68.71969275968769
4T1_preedited-8486,0,0,-92.1284764779021,-68.46895710646093,-63.88422600147254,-76.17728756942245,-81.61960414883664,-77.0585454342358,-83.70233921003756,-88.47285350728777,-81.64434567998282
4T1_preedited-8460,0,0,-96.72477770264746,-76.06170056307649,-65.35574984724349,-79.268942316676,-82.03153726801864,-80.12054687349178,-87.23901274091244,-88.32214184650033,-81.86956788363001
