cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
colony-21263,4,0,5,-1,-1,-1,8,3,0,-1,-1,-1,5,8,5,0,2,8,7,4,6,-1,-1,-1,0,0,1,0,2,1,8,3,8,4,0,1,7,8,1,4,0,0,-1,-1,-1,8,8,0
colony-21265,0,0,5,5,2,5,8,5,0,-1,-1,-1,1,3,8,-1,-1,-1,8,8,6,8,3,8,-1,-1,-1,0,0,1,8,3,0,3,0,5,-1,-1,-1,-1,-1,-1,3,2,8,-1,-1,-1
colony-21266,0,0,5,-1,-1,-1,8,5,0,-1,-1,-1,1,3,8,0,2,8,-1,-1,-1,8,3,8,3,0,1,0,0,1,8,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,8,0,0,0
colony-21267,4,3,5,5,0,5,0,0,3,-1,-1,-1,0,4,3,-1,-1,-1,8,8,6,8,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,5,7,4,1,4,8,2,3,2,8,0,0,0
colony-21268,4,0,5,5,0,5,8,3,8,8,0,0,0,0,1,8,4,0,-1,-1,-1,8,3,8,5,5,1,0,2,1,-1,-1,-1,4,0,1,7,8,1,-1,-1,-1,0,8,8,-1,-1,-1
colony-21269,4,0,5,-1,-1,-1,8,0,0,8,0,0,0,5,5,0,2,8,0,0,6,8,3,1,0,8,1,8,0,1,8,8,8,0,0,1,7,0,5,4,4,3,8,8,8,8,0,0
colony-21270,4,3,5,5,0,5,0,0,3,8,4,8,-1,-1,-1,0,2,8,8,8,6,-1,-1,-1,3,0,1,5,7,1,8,0,0,0,0,5,-1,-1,-1,-1,-1,-1,3,2,8,0,0,0
colony-21271,4,0,5,5,4,5,8,3,8,8,4,0,7,0,0,0,2,8,0,0,6,8,3,0,-1,-1,-1,0,0,1,8,3,8,-1,-1,-1,7,0,1,4,0,5,2,4,8,8,8,0
colony-21272,0,0,5,-1,-1,-1,8,5,0,-1,-1,-1,1,3,8,0,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,1,0,0,5,7,4,0,4,7,2,3,2,8,0,0,0
colony-21274,8,0,5,5,0,5,8,0,0,0,0,0,1,0,0,0,2,8,8,8,6,8,3,8,-1,-1,-1,2,8,1,8,0,0,3,0,1,7,4,3,4,3,2,3,2,8,0,0,0
colony-21275,0,0,5,-1,-1,-1,8,5,0,0,5,7,1,3,8,8,8,6,8,8,6,8,3,8,3,0,1,0,0,1,8,3,1,0,0,5,7,4,0,4,7,2,3,2,8,0,0,0
colony-21276,-1,-1,-1,-1,-1,-1,8,0,0,0,0,0,1,5,0,0,2,8,8,8,6,8,3,8,3,0,1,2,0,1,8,5,6,0,4,5,-1,-1,-1,4,3,2,3,2,8,0,0,0
