cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
4T1_preedited-1500,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,1,4,2,5,5,2,1,2,6,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,8,7
4T1_preedited-1618,2,4,7,-1,-1,-1,8,1,7,2,5,7,4,7,5,1,7,8,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,4,7,5,5,2,1,5,8,1,2,3,2,4,7,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-1634,2,4,2,6,2,1,8,1,7,2,5,7,-1,-1,-1,1,5,8,1,4,8,-1,-1,-1,2,5,1,3,2,3,3,4,2,5,5,2,-1,-1,-1,1,2,3,8,4,2,7,1,1,-1,-1,-1,-1,-1,-1,3,5,5,8,8,4
4T1_preedited-1643,2,4,2,6,2,1,8,5,7,8,5,8,2,5,7,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,-1,-1,-1,1,2,6,2,5,7,8,4,2,-1,-1,-1,4,2,8,-1,-1,-1,1,8,7,8,8,4
4T1_preedited-1647,2,4,2,6,2,1,-1,-1,-1,8,5,8,2,5,5,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,2,5,2,2,2,8,-1,-1,-1,2,4,7,7,1,1,4,2,8,1,1,1,3,8,5,8,8,4
4T1_preedited-1664,2,0,7,6,2,1,2,1,7,8,5,8,4,7,5,1,7,8,1,4,8,-1,-1,-1,2,5,1,3,2,3,-1,-1,-1,5,5,2,1,2,6,1,2,3,-1,-1,-1,7,1,1,5,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-1673,2,5,0,-1,-1,-1,8,5,7,8,5,8,5,5,7,1,7,8,1,4,8,8,5,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,-1,1,2,8,1,2,3,-1,-1,-1,7,1,1,4,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
4T1_preedited-1696,2,4,2,-1,-1,-1,8,1,7,8,5,8,5,5,5,1,7,8,1,4,8,-1,-1,-1,2,5,1,3,2,3,1,4,4,2,5,0,1,2,6,-1,-1,-1,8,4,2,7,1,1,4,2,8,1,4,1,3,8,5,8,8,4
4T1_preedited-1792,-1,-1,-1,6,2,1,8,1,7,8,5,8,-1,-1,-1,1,7,8,1,4,8,8,5,1,2,5,1,1,5,1,2,0,2,2,5,2,2,5,5,1,2,3,-1,-1,-1,-1,-1,-1,4,0,2,3,3,8,-1,-1,-1,8,8,4
4T1_preedited-1817,2,4,2,6,2,1,8,1,7,8,5,1,4,7,5,2,5,7,1,4,8,-1,-1,-1,2,5,1,3,2,3,3,4,2,2,5,2,1,2,6,1,2,0,-1,-1,-1,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-1828,2,4,2,-1,-1,-1,8,1,7,-1,-1,-1,4,7,5,1,7,8,1,4,8,8,5,1,2,5,7,-1,-1,-1,3,4,2,5,5,2,1,2,6,1,2,3,2,4,2,-1,-1,-1,8,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-1855,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,1,7,8,1,4,0,-1,-1,-1,-1,-1,-1,3,2,3,3,4,2,-1,-1,-1,1,2,6,-1,-1,-1,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-1869,2,4,2,-1,-1,-1,8,1,7,8,5,8,4,5,7,1,7,8,2,4,1,8,0,1,-1,-1,-1,3,2,3,3,4,2,2,5,2,1,2,6,2,2,0,0,4,7,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-1892,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,-1,-1,-1,1,2,6,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-19,-1,-1,-1,6,2,1,8,1,7,8,5,8,-1,-1,-1,1,7,0,1,4,8,8,5,1,2,5,1,3,2,3,-1,-1,-1,5,5,2,1,2,8,1,2,3,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,5,8,8,4
4T1_preedited-1915,2,4,2,2,2,1,8,1,7,-1,-1,-1,4,7,5,1,7,8,1,4,8,2,5,1,2,5,1,3,2,3,3,4,2,-1,-1,-1,-1,-1,-1,1,2,3,8,4,2,7,5,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-2044,2,4,2,-1,-1,-1,2,5,7,8,5,8,4,7,5,1,7,8,-1,-1,-1,8,5,1,-1,-1,-1,3,2,3,3,4,2,2,5,7,2,0,5,1,2,3,-1,-1,-1,7,5,1,4,2,8,1,1,8,3,8,5,-1,-1,-1
4T1_preedited-2077,2,4,2,6,2,1,8,1,7,2,5,1,-1,-1,-1,-1,-1,-1,1,4,8,-1,-1,-1,2,5,1,3,2,3,-1,-1,-1,2,5,2,1,2,8,-1,-1,-1,2,4,2,7,1,1,4,2,8,3,3,8,2,5,5,2,5,5
4T1_preedited-2094,2,0,7,-1,-1,-1,8,1,7,8,5,8,-1,-1,-1,-1,-1,-1,1,4,8,8,5,1,2,5,1,3,6,3,3,4,2,5,5,2,1,2,6,-1,-1,-1,-1,-1,-1,7,1,1,-1,-1,-1,3,3,8,3,8,5,8,8,4
4T1_preedited-2154,2,4,2,-1,-1,-1,8,1,7,8,5,8,4,7,5,1,7,8,2,5,1,8,5,1,2,5,1,3,2,3,-1,-1,-1,-1,-1,-1,1,2,8,-1,-1,-1,-1,-1,-1,2,5,7,5,2,8,3,3,8,3,8,5,2,5,5
4T1_preedited-2218,-1,-1,-1,6,2,1,8,1,7,8,5,8,4,7,5,1,5,8,1,4,8,8,5,1,2,0,1,-1,-1,-1,3,4,2,5,5,2,-1,-1,-1,1,2,3,8,4,2,7,1,1,4,2,8,1,1,8,-1,-1,-1,8,8,4
4T1_preedited-2238,-1,-1,-1,-1,-1,-1,2,5,7,8,5,8,4,1,5,1,7,8,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,4,2,-1,-1,-1,1,2,6,-1,-1,-1,8,4,2,7,1,1,-1,-1,-1,3,3,8,-1,-1,-1,8,5,7
4T1_preedited-2240,-1,-1,-1,-1,-1,-1,8,1,7,-1,-1,-1,4,7,5,1,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,2,5,5,2,1,2,6,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,8,3,8,5,2,0,0
4T1_preedited-2362,2,4,2,-1,-1,-1,8,1,7,8,5,8,2,5,5,1,7,8,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,4,2,5,5,2,-1,-1,-1,1,2,3,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,5,-1,-1,-1
4T1_preedited-2369,2,4,2,-1,-1,-1,8,1,7,8,5,1,-1,-1,-1,-1,-1,-1,2,4,1,8,5,1,-1,-1,-1,1,5,1,1,0,2,2,5,2,-1,-1,-1,-1,-1,-1,2,0,7,-1,-1,-1,2,2,1,1,1,1,2,5,7,2,5,5
4T1_preedited-2374,2,4,2,6,2,1,8,1,7,8,5,8,-1,-1,-1,1,7,8,2,4,7,-1,-1,-1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,3,1,8,3,8,5,8,8,4
4T1_preedited-2468,2,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,5,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,5,1,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,3,3,8,-1,-1,-1,8,8,4
4T1_preedited-25,2,4,2,6,2,1,8,1,7,8,5,8,2,5,7,-1,-1,-1,-1,-1,-1,8,5,1,2,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,6,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,3,3,8,3,8,5,8,8,4
4T1_preedited-2506,2,4,2,-1,-1,-1,-1,-1,-1,8,5,8,8,5,7,1,4,8,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,0,2,5,5,2,-1,-1,-1,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,1,1,7,2,5,7,-1,-1,-1
4T1_preedited-2568,2,4,2,-1,-1,-1,8,1,7,-1,-1,-1,4,1,5,1,5,8,1,4,8,8,5,1,2,5,7,3,2,3,3,4,2,-1,-1,-1,1,2,6,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,2,5,0
4T1_preedited-2571,2,4,2,6,2,1,8,1,7,8,5,8,5,5,5,1,7,8,1,4,1,8,5,1,2,5,1,3,2,3,1,4,2,2,5,2,1,2,6,-1,-1,-1,8,0,2,7,1,1,4,2,8,1,1,1,3,0,5,8,8,4
4T1_preedited-2680,2,4,2,6,2,1,-1,-1,-1,8,5,8,4,5,5,1,7,8,1,4,8,2,5,1,2,5,1,3,2,3,3,4,2,-1,-1,-1,1,2,6,1,2,3,8,4,2,-1,-1,-1,8,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-2708,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,2,5,2,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,4,2,5,5,2,2,5,7,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,-1,-1,-1,8,8,4
4T1_preedited-2728,2,4,2,6,2,1,8,1,7,8,5,1,4,7,5,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,7,5,5,2,-1,-1,-1,1,2,3,-1,-1,-1,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
