,identifier,noise,method,var_name,var_value
34,c30_noise0.0_rep1,0.0,LAML2,est_comp_mutRate,0.10835755262057721
35,c30_noise0.0_rep1,0.0,LAML2,manually_rescaled_lambda,0.08223840294270852
36,c30_noise0.0_rep2,0.0,LAML1,phi,0.10166659894330302
37,c30_noise0.0_rep2,0.0,LAML1,nu,8.673810983073067e-07
38,c30_noise0.0_rep2,0.0,LAML1,llh,2148.3510552414614
39,c30_noise0.0_rep2,0.0,LAML1,lambda,0.10812637380759493
40,c30_noise0.0_rep2,0.0,LAML1,true_treeHeight,12.454562586989717
41,c30_noise0.0_rep2,0.0,LAML1,est_treeHeight,9.99999991976675
42,c30_noise0.0_rep2,0.0,LAML1,true_mutRate,0.087002294647045
43,c30_noise0.0_rep2,0.0,LAML1,est_comp_mutRate,0.10835755325872208
44,c30_noise0.0_rep2,0.0,LAML1,manually_rescaled_lambda,0.08513887701385428
45,c30_noise0.0_rep2,0.0,LAML2,phi,0.10166658032501957
46,c30_noise0.0_rep2,0.0,LAML2,nu,4.108170553289952e-07
47,c30_noise0.0_rep2,0.0,LAML2,rho,0.9999996383309844
48,c30_noise0.0_rep2,0.0,LAML2,lambda,0.10811777630945066
49,c30_noise0.0_rep2,0.0,LAML2,true_treeHeight,12.454562586989717
50,c30_noise0.0_rep2,0.0,LAML2,est_treeHeight,9.999999814422331
51,c30_noise0.0_rep2,0.0,LAML2,true_mutRate,0.087002294647045
52,c30_noise0.0_rep2,0.0,LAML2,est_comp_mutRate,0.10835755440020847
53,c30_noise0.0_rep2,0.0,LAML2,manually_rescaled_lambda,0.08513210733027611
54,c30_noise0.0_rep3,0.0,LAML1,phi,0.10833300575925733
55,c30_noise0.0_rep3,0.0,LAML1,nu,1.8673749526740911e-06
56,c30_noise0.0_rep3,0.0,LAML1,llh,2475.8617428185908
57,c30_noise0.0_rep3,0.0,LAML1,lambda,0.08068263465211187
58,c30_noise0.0_rep3,0.0,LAML1,true_treeHeight,11.644535278593247
59,c30_noise0.0_rep3,0.0,LAML1,est_treeHeight,9.999999993532438
60,c30_noise0.0_rep3,0.0,LAML1,true_mutRate,0.09305442406837268
61,c30_noise0.0_rep3,0.0,LAML1,est_comp_mutRate,0.10835755245941515
62,c30_noise0.0_rep3,0.0,LAML1,manually_rescaled_lambda,0.06352963358434006
63,c30_noise0.0_rep3,0.0,LAML2,phi,0.10832672090283697
64,c30_noise0.0_rep3,0.0,LAML2,nu,2.804696511473426e-05
65,c30_noise0.0_rep3,0.0,LAML2,rho,0.9999999999419303
66,c30_noise0.0_rep3,0.0,LAML2,lambda,0.08023350961562717
67,c30_noise0.0_rep3,0.0,LAML2,true_treeHeight,11.644535278593247
68,c30_noise0.0_rep3,0.0,LAML2,est_treeHeight,9.9999999618167
69,c30_noise0.0_rep3,0.0,LAML2,true_mutRate,0.09305442406837268
70,c30_noise0.0_rep3,0.0,LAML2,est_comp_mutRate,0.10835755280307913
71,c30_noise0.0_rep3,0.0,LAML2,manually_rescaled_lambda,0.06317599182332848
72,c30_noise0.0_rep4,0.0,LAML1,phi,0.10366651220783996
73,c30_noise0.0_rep4,0.0,LAML1,nu,1.006800623589165e-06
74,c30_noise0.0_rep4,0.0,LAML1,llh,2417.0679568423834
75,c30_noise0.0_rep4,0.0,LAML1,lambda,0.10321436756390881
