,cell_name,target_site,pub_geno,pub_pmax,lp_state
1197,colony-21585,7,0,1.0,0
1198,colony-21586,7,0,0.977,0
1199,colony-21587,7,0,1.0,0
1200,colony-21588,7,0,1.0,0
1201,colony-21589,7,0,1.0,0
1202,colony-21593,7,0,1.0,0
1203,colony-21596,7,7,0.981,7
1204,colony-21597,7,5,1.0,5
1205,colony-21598,7,0,1.0,0
1206,colony-21600,7,0,1.0,0
1207,colony-21604,7,0,1.0,0
1208,colony-21605,7,2,0.997,2
1209,colony-21608,7,0,0.997,0
1210,colony-21609,7,0,0.999,0
1211,colony-21613,7,0,1.0,0
1212,colony-21614,7,3,1.0,3
1213,colony-21615,7,0,1.0,0
1214,colony-21616,7,0,1.0,0
1215,colony-21618,7,0,0.921,0
1216,colony-21619,7,0,1.0,0
1217,colony-21620,7,0,1.0,0
1218,colony-21621,7,0,1.0,0
1219,colony-21622,7,0,1.0,0
1220,colony-21623,7,5,1.0,5
1221,colony-21624,7,0,1.0,0
1222,colony-21625,7,2,1.0,2
1223,colony-21626,7,0,1.0,0
1224,colony-21627,7,0,1.0,0
1225,colony-21630,7,3,1.0,3
1226,colony-21631,7,0,1.0,0
1227,colony-21632,7,0,1.0,0
1228,colony-21633,7,0,1.0,0
1229,colony-21635,7,0,0.916,0
1230,colony-21636,7,4,0.999,4
1231,colony-21637,7,0,1.0,0
1232,colony-21638,7,4,0.916,4
1233,colony-21639,7,0,0.987,0
1234,colony-21640,7,3,1.0,3
1235,colony-21641,7,3,1.0,3
1236,colony-21643,7,0,1.0,0
1237,colony-21644,7,3,0.906,3
1238,colony-21646,7,0,1.0,0
1239,colony-21648,7,0,1.0,0
1240,colony-21649,7,0,1.0,0
1241,colony-21650,7,0,1.0,0
1242,colony-21652,7,2,1.0,2
1243,colony-21653,7,0,0.994,0
1244,colony-21654,7,0,1.0,0
1245,colony-21659,7,0,1.0,0
1246,colony-21663,7,3,1.0,3
1247,colony-21665,7,0,1.0,0
1248,colony-21666,7,0,1.0,0
1249,colony-21678,7,0,0.982,0
1250,colony-21680,7,0,1.0,0
1251,colony-21683,7,2,1.0,2
1252,colony-21684,7,0,1.0,0
1253,colony-21687,7,0,1.0,0
1254,colony-21691,7,2,0.978,2
1255,colony-21697,7,0,1.0,0
1256,colony-21705,7,0,1.0,0
1257,colony-21707,7,0,1.0,0
1258,colony-21708,7,0,1.0,0
1259,colony-21717,7,0,0.999,0
1260,colony-21718,7,0,0.998,0
1261,colony-21723,7,0,0.991,0
1262,colony-21729,7,0,0.928,0
1263,colony-21733,7,0,0.991,0
