,identifier,noise,method,var_name,var_value
0,c30_noise0.0_rep0,0.0,conda_LAML1,phi,0.09619510812602139
1,c30_noise0.0_rep0,0.0,conda_LAML1,nu,0.003543888425870855
2,c30_noise0.0_rep0,0.0,conda_LAML1,llh,1968.2029222713659
3,c30_noise0.0_rep0,0.0,conda_LAML1,lambda,1.025054616266067
4,c30_noise0.0_rep0,0.0,github_LAML1,phi,0.09622066686237404
5,c30_noise0.0_rep0,0.0,github_LAML1,nu,0.0034103488123459176
6,c30_noise0.0_rep0,0.0,github_LAML1,llh,1871.4075257289633
7,c30_noise0.0_rep0,0.0,github_LAML1,lambda,1.0315187097367722
8,c30_noise0.0_rep0,0.0,LAML2,phi,0.0959231861091686
9,c30_noise0.0_rep0,0.0,LAML2,nu,0.004452984922914899
10,c30_noise0.0_rep0,0.0,LAML2,rho,0.9999999998441115
11,c30_noise0.0_rep0,0.0,LAML2,lambda,1.0245601676530771
12,c30_noise0.0_rep1,0.0,conda_LAML1,phi,0.10633241469355174
13,c30_noise0.0_rep1,0.0,conda_LAML1,nu,2.7950303289267305e-06
14,c30_noise0.0_rep1,0.0,conda_LAML1,llh,2413.093687422377
15,c30_noise0.0_rep1,0.0,conda_LAML1,lambda,1.0447989185682747
16,c30_noise0.0_rep1,0.0,github_LAML1,phi,0.1063323534013981
17,c30_noise0.0_rep1,0.0,github_LAML1,nu,2.95284471243362e-06
18,c30_noise0.0_rep1,0.0,github_LAML1,llh,2413.0066253164705
19,c30_noise0.0_rep1,0.0,github_LAML1,lambda,1.0449064330952
20,c30_noise0.0_rep1,0.0,LAML2,phi,0.10630334625536181
21,c30_noise0.0_rep1,0.0,LAML2,nu,7.84571701862904e-05
22,c30_noise0.0_rep1,0.0,LAML2,rho,0.9999999999995456
23,c30_noise0.0_rep1,0.0,LAML2,lambda,1.0444307902510455
24,c30_noise0.0_rep2,0.0,conda_LAML1,phi,0.10166659872645392
25,c30_noise0.0_rep2,0.0,conda_LAML1,nu,8.672198601315374e-07
26,c30_noise0.0_rep2,0.0,conda_LAML1,llh,2150.108136517453
27,c30_noise0.0_rep2,0.0,conda_LAML1,lambda,1.0820471670190266
28,c30_noise0.0_rep2,0.0,github_LAML1,phi,0.10166659684333462
