,Dim_0,Dim_1
internal_806,-1918.2898635639974,-1333.9580832120923
internal_954,-1916.9576288856638,-1330.3093914271137
internal_955,-1920.0680329204547,-1338.8280899974752
internal_807,-1916.4369955469194,-1327.5642101004219
internal_809,-1916.1831466076694,-1334.254892887093
internal_1152,-1922.6625324396612,-1344.7452887645904
internal_1304,-1915.987301266629,-1324.257061763482
internal_808,-1914.239506341281,-1320.873704062907
internal_824,-1915.9188557212856,-1332.596235412039
internal_825,-1916.1365440792902,-1338.4547949486457
internal_957,-1929.992966283962,-1352.7717614644152
internal_1212,-1917.6163157620642,-1348.9420113157073
internal_1306,-1904.0314220223872,-1320.2622826840409
internal_1305,-1922.2991196459043,-1322.1520796012994
internal_951,-1895.5258039944154,-1321.9177488153764
internal_810,-1919.1239152885596,-1324.3403566510624
internal_826,-1914.5150863039241,-1334.2684257507772
internal_943,-1916.2620509859175,-1335.3427272903123
internal_840,-1915.554893460579,-1372.065481214293
internal_960,-1934.8801026006377,-1363.0794776384478
internal_959,-1926.2746288750718,-1342.3049964173151
internal_1190,-1883.632061820753,-1363.9892801991864
internal_1171,-1927.1758955254109,-1345.2960378421903
internal_1307,-1869.247214234862,-1317.241433623648
internal_1584,-1944.7596837441777,-1316.1430807021109
internal_1444,-1946.955754426182,-1265.6683430147782
internal_1405,-1927.0479658661623,-1326.6618177726825
internal_952,-1852.9466335618677,-1345.5313131140108
internal_820,-1904.4046037334278,-1360.7999486404813
internal_811,-1920.0824080879659,-1321.9020331154097
internal_828,-1915.0900108792755,-1344.2261269537817
internal_829,-1895.4942589627647,-1306.3680770371848
internal_945,-1938.303654695057,-1342.5792929491158
internal_944,-1914.4920826430478,-1334.3654807742437
internal_875,-1885.9526992243907,-1414.3978049343525
internal_841,-1922.7557941754026,-1368.5134445567646
internal_980,-1924.311673067462,-1399.687614962899
internal_996,-1955.1429707919433,-1376.9365843761832
internal_958,-1921.1529231393233,-1316.0111882429044
internal_981,-1921.982393097675,-1361.8089998001576
internal_1182,-1885.112438496231,-1345.3696524809723
internal_1235,-1855.502471657268,-1387.3634132364914
internal_1181,-1922.998688237071,-1366.1476854382117
internal_1153,-1930.731462472882,-1341.4246903875048
internal_1478,-1860.1297189288314,-1307.491924057244
internal_1479,-1828.6339022947482,-1326.6580403593264
internal_1585,-1959.4458645089246,-1303.4935637736066
internal_1589,-1965.9021621213521,-1335.420711641362
internal_1425,-1976.13667107718,-1310.6449848698596
internal_1308,-1918.4071939412881,-1333.0189263797238
internal_953,-1850.4088916076528,-1349.6541519954533
internal_823,-1938.1145018268276,-1337.1547927043894
internal_812,-1919.6654053740858,-1316.5316460931674
internal_831,-1913.727363547032,-1323.2428714272048
internal_827,-1915.7414886303047,-1355.1315978000414
internal_830,-1896.9397190922944,-1297.4526167454312
internal_948,-1931.0205074062048,-1378.949735315634
internal_949,-1874.6308851518588,-1346.6264112400368
internal_901,-1841.8204303560992,-1456.082918612407
internal_876,-1886.380329240937,-1416.9102863846176
internal_916,-1914.842619333975,-1368.0016210366693
internal_915,-1936.1960472819687,-1365.560141478239
internal_961,-1926.2728666619475,-1460.740757838217
internal_991,-1907.8946781513025,-1413.5785172111284
internal_997,-1960.4321000554576,-1379.9872229696261
internal_998,-1990.4712336441796,-1404.4246996594532
internal_956,-1921.574140691377,-1311.5166947008825
internal_1238,-1897.6645095913595,-1235.2924832447213
internal_985,-1944.1367006631551,-1352.8966274405775
internal_1183,-1879.4824346360333,-1410.5315490151686
internal_1184,-1893.0670144528751,-1251.0705565029718
internal_1234,-1815.261581486105,-1424.4601579402442
internal_1213,-1851.8067988651378,-1387.4324737563225
