,Dim_0,Dim_1
internal_738,-1724.6598460231182,-1201.2876591799836
internal_752,-1865.1156421781313,-1126.1030707595894
internal_756,-1818.8454565888155,-1502.4934695831969
internal_800,-1817.8598364364334,-1345.7786475548646
internal_763,-1778.8973956719392,-1305.4607709571744
internal_704,-1989.8919961013983,-1383.3202126362673
internal_917,-1980.9384683252345,-1377.0440439959743
internal_1010,-1934.2230359320702,-1139.3947133445674
internal_1005,-1925.153847997125,-1136.927150311702
internal_971,-1943.368239340048,-1251.0682585459588
internal_998,-1925.0346509876172,-1265.519406536929
internal_885,-1909.470848851048,-1232.8077742626422
internal_897,-1999.5366548727707,-1417.5687720557648
internal_1126,-1909.913757839285,-1307.5528404865604
internal_1125,-1902.2750701787143,-1258.5475527556764
internal_1122,-1973.3963630407093,-1209.8777065847585
internal_1119,-1913.7676331786952,-1363.3278497099477
internal_1047,-1926.9809404097923,-1431.3364342841098
internal_1027,-1897.0903742187102,-1341.376733265242
internal_1019,-1896.3353753387528,-1269.2005898459522
internal_1070,-1985.9742686506124,-1338.6580918719599
internal_1059,-2028.6733370698903,-1418.3060386129168
internal_1064,-2083.8238938467894,-1406.3371968419874
internal_1091,-1893.0769474566684,-1477.443120168222
internal_1107,-1850.5303471241623,-1413.3191468077546
internal_1089,-1893.0830639485432,-1377.8770705528334
internal_1087,-1921.4730276409953,-1382.1772060290486
internal_1171,-1739.1920965783006,-1198.3041232484236
internal_1174,-1837.1156565732313,-1209.2447274514698
internal_1187,-1843.1108779509054,-1209.8160051763755
internal_1152,-1896.1744902146309,-1203.5897525478144
internal_1159,-1910.006544358453,-1195.9242584992403
internal_1134,-1869.7361517646227,-1168.8531772068748
internal_1138,-1835.7823611319454,-1231.6587945880099
internal_1140,-1817.8740898815224,-1149.9664793163922
internal_1146,-1851.4446064129088,-1145.0301568762698
internal_1207,-2068.877476883089,-1447.5071539537705
internal_1205,-1995.1626457300777,-1550.0198085991021
internal_1215,-2084.0811380593373,-1498.5878138346686
internal_1216,-2049.262272210583,-1505.8313975051956
internal_1290,-2014.6691646816387,-1449.0228371141377
internal_1315,-1841.0438867743158,-1532.9557937914608
internal_1304,-1891.38962472325,-1505.300961062666
internal_1349,-2021.636504896084,-1470.883780206179
internal_1345,-2042.1671847099656,-1528.2409467678433
internal_1339,-2118.5888665273183,-1290.7355644405543
internal_1329,-2109.0474983538684,-1313.1621306041125
internal_1251,-2066.152034563363,-1379.1151749677133
internal_1267,-2024.2416900333783,-1391.1834972296417
internal_1232,-1906.861083500505,-1495.0220469137637
internal_1239,-1877.897494120911,-1438.1163630844105
internal_1240,-1897.6111468769848,-1368.4317827719058
internal_1248,-1899.8767577896592,-1401.1816698965956
internal_1384,-1966.1041222826234,-1361.561582971422
internal_1374,-1985.3080090876308,-1369.8758850885372
internal_1362,-1835.3702189325088,-1400.1395666574124
internal_1367,-1974.6633501251854,-1375.4834630845287
internal_745,-1852.81776020863,-1183.8080203579975
internal_741,-1860.3138925336682,-1162.9146277595635
internal_739,-1693.9500439276958,-1210.2333740216015
internal_753,-1872.2068760005704,-1124.177195329684
internal_757,-1824.1314235460404,-1539.3098393003943
internal_832,-1799.9544476758851,-1362.1974762635177
internal_762,-1821.3488889818968,-1344.2248996698124
internal_772,-1752.5838734719714,-1298.2133349732246
internal_764,-1796.0073133753972,-1294.0965298644649
internal_721,-1975.4031502220878,-1403.2057312453753
internal_722,-2086.246850644041,-1391.5582940129154
internal_941,-1985.7212773170118,-1373.062396081455
internal_918,-1997.0500263437727,-1448.964285227297
internal_1011,-1970.84122104297,-1131.409976023191
internal_1006,-1937.038316022894,-1131.406972557739
internal_980,-2007.4510712916408,-1250.5010917776622
internal_972,-1824.4661911319442,-1210.674878841389
internal_999,-1935.272972488521,-1224.4170456014576
internal_891,-1897.8485069507158,-1230.1519943603867
internal_886,-1924.1445873660841,-1226.3366249623052
internal_905,-1991.200655876648,-1410.7029171513411
internal_898,-2005.8792858744348,-1426.6051138692553
internal_1120,-1911.7127941422414,-1374.710384537688
internal_1056,-1949.4019793795007,-1603.5617980398104
internal_1048,-1929.8295960674411,-1427.9814759193882
internal_1038,-1884.2758688370798,-1304.9673835875965
internal_1028,-1892.2633185189445,-1401.3075903582426
internal_1020,-1895.0827204467328,-1265.6634268302564
internal_1075,-2052.0713923808275,-1309.5589496030454
internal_1071,-1910.7092858615965,-1377.143797423024
internal_1062,-2013.3657899509742,-1451.3162901491587
internal_1060,-2036.34105607649,-1418.5418116876317
internal_1065,-2111.623456754975,-1429.3335921108421
internal_1092,-1896.4352408673276,-1493.8816504008453
internal_1108,-1754.7489036012678,-1400.6997660695356
internal_1109,-1865.2080429654804,-1405.3273298637482
internal_1088,-1919.8805478025442,-1358.6170227018704
internal_1172,-1729.2121410356904,-1187.1299591302063
internal_1186,-1859.5351574293275,-1186.613376463531
internal_1185,-1829.563860827434,-1215.5893978380116
internal_1188,-1811.1210661355424,-1322.5938685665149
internal_1189,-1860.1562647552014,-1185.7615802713974
internal_1156,-1907.517587891905,-1204.5281482171852
internal_1153,-1847.686589056214,-1201.5530431152588
internal_1163,-1912.0349448175718,-1195.2878961514707
internal_1160,-1920.6523666262337,-1183.2913882906082
internal_1141,-1778.4591172284127,-1149.6842670266901
internal_1144,-1801.4252873395792,-1153.331010272239
internal_1147,-1902.7727981216858,-1143.318812616079
internal_1208,-2054.4231801141746,-1476.85979426384
internal_1209,-2102.321156300432,-1399.5168728078938
internal_1291,-2057.406550983553,-1356.0312022257208
internal_1296,-2004.2371674373087,-1486.9089705417484
internal_1316,-1806.1437309425858,-1560.093866737259
internal_1305,-1878.2753465435,-1494.8241103335654
internal_1350,-1999.8927691431625,-1369.2534513012372
internal_1352,-2020.8671557347702,-1480.3119052139398
internal_1348,-2073.9813976591336,-1560.9803886938514
internal_1346,-2035.1955312220077,-1569.0550934105026
internal_1340,-2147.8525851293366,-1312.8645905668996
internal_1330,-2115.2381554518206,-1313.2076268424041
internal_1336,-2076.6404320760103,-1294.713163982507
internal_1253,-2084.584391375046,-1372.286646317456
internal_1252,-2017.8793174163698,-1394.219232403157
internal_1268,-2038.7484525513355,-1403.9944517314918
internal_1237,-1873.533641503448,-1470.137492806632
internal_1233,-1917.7537379131898,-1508.5501791178883
internal_1241,-1911.0506178265616,-1380.0194886510071
internal_1386,-1994.2400708185025,-1334.3233400172278
internal_1385,-1902.8658396327419,-1357.704170452042
internal_1375,-1996.3668541833758,-1361.351064358779
internal_1377,-1984.467817712047,-1372.938549868847
internal_1363,-1819.5601288130254,-1379.5058770592532
internal_1365,-1805.2579702645153,-1442.5618076008457
internal_746,-1820.3482257125092,-1169.8563697233797
internal_749,-1866.1126357764415,-1211.7361920721037
internal_742,-1801.7037328380097,-1080.5856655274165
internal_743,-1932.35669279083,-1126.8061453387418
internal_758,-1838.1711405251974,-1555.9335063599303
internal_833,-1787.7987914236712,-1375.6590575882326
internal_851,-1777.579960623331,-1378.0329744384871
internal_801,-1814.198056295494,-1361.4453796907203
internal_817,-1827.9205231651931,-1334.317424408068
internal_774,-1734.4464338909727,-1296.1631047021579
internal_773,-1727.609204326251,-1287.6491613430337
internal_765,-1787.911142958246,-1270.9767952147965
internal_769,-1826.2861492322716,-1317.407224173115
internal_728,-2035.3468746802132,-1442.9571763020526
internal_705,-1887.8208796666145,-1422.1673724220095
internal_723,-2129.1980090703846,-1366.686226420367
internal_724,-2109.9049667300105,-1429.6958055200682
internal_942,-1989.8206125330228,-1372.0478541106686
internal_958,-2027.1901207176159,-1330.6776752995722
internal_926,-1977.6647527860298,-1477.3214269322675
internal_919,-2100.367313759422,-1427.9836912915857
internal_1012,-1986.0960423325482,-1116.1457657955104
internal_1007,-1973.202568844091,-1130.0050814568983
internal_1008,-1938.8178983381213,-1129.9449783699129
internal_981,-2026.2658582506635,-1248.2884518921726
internal_995,-2070.0470075019957,-1255.7088331817115
internal_973,-1744.4458995933228,-1248.1226138468849
internal_976,-1824.561948933239,-1204.96250688684
internal_1002,-2012.4289710960875,-1230.969103146545
internal_1000,-1852.6384455270943,-1119.2277752807422
internal_892,-1830.47441726858,-1215.1665379489268
internal_887,-2066.818716215512,-1216.974521406264
internal_888,-2008.0860532821505,-1168.2999125733352
internal_906,-1988.0533506844745,-1406.9599936898724
internal_907,-1990.4219682854698,-1419.0543685400469
internal_901,-2091.2686103370525,-1486.7260899691448
internal_899,-2008.624321408294,-1435.1470661456135
internal_1049,-1971.8696110630965,-1397.1044799069834
internal_1050,-1922.7667340340324,-1432.4616560598524
internal_1042,-1875.5771696178701,-1287.9132319352452
internal_1039,-1869.9532538200674,-1252.0608628530813
internal_1032,-1895.4203865883937,-1454.737401586668
internal_1029,-1885.4758170559815,-1348.6570737462996
internal_1025,-1893.2689974259051,-1281.7057220476174
internal_1021,-1895.065366101997,-1261.5030382260918
internal_1076,-2066.681724022132,-1319.0097123661712
internal_1072,-1892.8515739404138,-1408.0409323916172
internal_1063,-2013.866057967772,-1449.6950983970007
internal_1061,-2027.7145419598762,-1425.824165073074
internal_1068,-2157.4245009740894,-1481.9354667177474
internal_1066,-2135.3561990497647,-1440.7321152729555
internal_1093,-1900.0613712660834,-1498.4758827320604
internal_1101,-1891.0650430100684,-1498.9789743487945
internal_1175,-1832.3438755484642,-1215.2816731014466
internal_1176,-1766.8099887450433,-1255.996769610249
internal_1195,-1989.3743011426968,-1165.3815561925146
internal_1190,-1849.7331335196432,-1180.9260065455196
internal_1157,-2000.1814273730845,-1231.394146182509
internal_1158,-1809.0114851254425,-1144.1377349115894
internal_1164,-1937.3174107401735,-1191.4911988451854
internal_1161,-1937.703338152906,-1193.942451148399
internal_1162,-1910.1861197131595,-1164.8265587447395
internal_1142,-1771.949088849086,-1151.5657684371592
internal_1143,-1792.7066133709768,-1141.27840327486
internal_1145,-1796.8566507919998,-1147.7734637659735
internal_1210,-2109.0946744496396,-1394.41304990396
internal_1292,-2013.226128157879,-1304.2448878084138
internal_1294,-2171.7841055580047,-1300.6160096878548
