,Dim_0,Dim_1
internal_766,-1763.5888008644756,-1420.8528719666954
internal_781,-1815.2353365229194,-1536.7515373413369
internal_796,-1768.1729760891735,-1304.816857367231
internal_790,-1786.0889144177863,-1257.9077579420225
internal_791,-1779.4580413683893,-1271.9546079471672
internal_805,-1782.4131669577507,-1387.8114737801761
internal_816,-1770.4673069074952,-1429.5226434118179
internal_804,-1843.0940803072679,-1461.0002352032593
internal_850,-1852.4598088790517,-1207.0186602442259
internal_827,-1822.253468188494,-1400.2602863413633
internal_825,-1862.6253019670253,-1464.0930055385786
internal_931,-1866.4650084778577,-1483.2819075701805
internal_927,-1987.4494550971672,-1513.0228670241452
internal_939,-2108.8368975838257,-1433.0717186411164
internal_967,-2004.075735926095,-1377.2032667239828
internal_970,-2025.5360927757692,-1398.0758501865796
internal_924,-2082.388925295376,-1378.2982096372073
internal_959,-2076.266845918265,-1320.5475746078816
internal_957,-1992.0472963121997,-1285.221626117167
internal_981,-2043.5666546617438,-1353.1176944814647
internal_950,-1930.1139795038025,-1145.359974950395
internal_947,-1935.148953840805,-1149.1381860681197
internal_717,-1834.5173205172575,-1174.8192791832382
internal_724,-1895.5927340789267,-1144.8835682284564
internal_1267,-1832.7560592423008,-1366.973041873506
internal_1264,-1834.3343361674386,-1506.6862618572593
internal_1260,-1806.848986169086,-1438.513173783503
internal_1272,-2101.6621743481023,-1469.7203566342357
internal_1382,-1923.7991387619338,-1403.6672416705198
internal_1383,-1947.759907868593,-1212.1597275296378
internal_1386,-1915.788446041555,-1296.269512899966
internal_1300,-2033.3259438949358,-1417.2430269902718
internal_1311,-1906.0730527410565,-1439.3727424734927
internal_1286,-2052.8767480039737,-1285.6125579227576
internal_1288,-1975.1203485690933,-1322.983424225345
internal_1356,-1930.0058869271545,-1415.838021775085
internal_1332,-1901.5486624957819,-1333.8181552265246
internal_1046,-2002.7427560100937,-1379.7978378860544
internal_1047,-2020.8337098033664,-1394.1828946905307
internal_1110,-1967.6885745823474,-1375.2340972076279
internal_1107,-1965.0608091351658,-1340.9323764787907
internal_1098,-1907.4737888557906,-1468.0699214830895
