,Dim_0,Dim_1
internal_455,-1909.0140051547805,-1341.5107232957992
internal_372,-1917.0534316925948,-1350.1529386745594
internal_452,-1913.9625940978563,-1331.479544836489
internal_454,-1817.5684972571246,-1387.5868828317514
internal_371,-1925.0953121739929,-1359.6508009313634
internal_438,-1921.91411429026,-1342.3874546013055
internal_451,-1917.18339374859,-1319.898407096141
internal_453,-1814.0704008042107,-1397.2415789402942
internal_370,-1941.1379260512786,-1357.632528943341
internal_437,-1934.0154575627378,-1361.2291928387453
internal_450,-1919.0612855574286,-1295.9186923923687
internal_369,-1938.4802813577496,-1354.9875192114175
internal_403,-1948.7393764665787,-1375.3424681003949
internal_436,-1909.1151459978719,-1345.0289444328748
internal_445,-1922.5316591390188,-1284.8632039225117
internal_449,-1918.4232455323818,-1292.3854606274392
internal_348,-1936.3309618415558,-1351.9257316016553
internal_368,-1987.3583505173035,-1430.4837311195024
internal_388,-2022.2820020991423,-1368.5814718346958
internal_402,-1890.714002705581,-1446.652482920391
internal_430,-1906.6618963981675,-1356.932127855823
internal_435,-1882.664412779255,-1287.9042332089118
internal_442,-1910.9409207197245,-1296.0981303577528
internal_444,-1950.134161123344,-1245.934332893311
internal_448,-1904.6142606889478,-1284.8065668455451
internal_187,-1930.7609017474156,-1347.3089621624515
internal_202,-1988.8286746455049,-1464.4844309254886
internal_208,-1891.5539199921684,-1379.9699791395349
internal_346,-1943.1224051964875,-1344.7953132584732
internal_347,-1928.0156935030695,-1168.7186034397016
internal_352,-2055.7417563993235,-1498.1043121908804
internal_364,-1850.2653322960057,-1419.2108586588106
internal_367,-2097.329110291397,-1438.8209598431986
internal_380,-2029.7987221331523,-1338.6428563482818
internal_387,-2059.912176029254,-1398.5902229521662
internal_398,-1899.9232603587782,-1515.3847460563427
internal_401,-1854.3343565727346,-1418.7883903404454
internal_417,-1894.8673781362734,-1345.2181723587973
internal_429,-1919.0387400086586,-1382.124507864223
internal_434,-1892.533837044183,-1264.6155284472488
internal_441,-1916.8101157930457,-1371.8187901333977
internal_443,-1975.2577253126483,-1205.3635699212145
internal_446,-1903.3454460757973,-1328.1420538313796
internal_447,-1897.0822666689317,-1256.9300588917295
internal_186,-1918.7441794531458,-1350.7740449966934
internal_199,-2015.136411969617,-1474.7337773913946
internal_201,-1903.4993089090417,-1506.4217916025275
internal_207,-1876.2768567882713,-1403.2482523391375
internal_299,-1939.7630804052146,-1323.2674937308796
internal_345,-1953.0327501483594,-1376.349481272331
internal_350,-2085.331183702884,-1534.3077988281286
internal_351,-2084.0658851337034,-1515.6294950468769
internal_356,-1812.6909671606854,-1431.7046707315983
internal_363,-1832.3004625246122,-1431.529989718253
internal_366,-2133.3935498936967,-1409.2494820389804
internal_379,-2026.372725394155,-1346.7378166256544
internal_383,-2061.6148150965346,-1399.3258932201409
internal_386,-2131.9670307308425,-1458.3130100086462
internal_391,-1939.3070176540643,-1542.3548747343234
internal_396,-1892.958595237863,-1505.2452213994727
internal_397,-1951.5371386358152,-1567.957943498639
internal_399,-1754.2328175239115,-1400.74916351285
internal_400,-1867.9234104200364,-1407.4479717491981
internal_416,-1884.1060160840027,-1325.7579429393115
internal_428,-1920.836211912572,-1386.1851638165733
internal_431,-1875.6307815096905,-1237.2246224632593
internal_432,-1891.9301475141485,-1279.1056559150427
internal_433,-1931.1071489510946,-1190.9050618707893
internal_439,-1927.2314463054222,-1400.6759186040385
internal_440,-1913.4944195409264,-1384.933777755119
internal_185,-1911.4977346276708,-1352.711464789394
internal_195,-2012.785419803339,-1481.65778336155
internal_198,-2119.738554897883,-1396.0852357078413
internal_200,-1993.2707071580069,-1548.1254236893735
internal_204,-1817.832878343029,-1401.4263566138743
internal_205,-1976.2548260335611,-1378.9366763946919
internal_206,-1848.5050156843129,-1485.3699979625203
internal_298,-1940.8871519097422,-1314.7574089636112
internal_323,-1922.081965456389,-1443.689394203102
internal_344,-2040.7284447495992,-1383.9094973121814
internal_349,-2075.475161461638,-1544.7519897902569
internal_355,-1802.585622013604,-1427.6435634275035
internal_358,-1845.6511520187714,-1525.3550449926806
internal_361,-1802.2466058906598,-1428.7952255389278
internal_362,-1828.5604341725889,-1379.0736151956528
internal_365,-2148.4818615062286,-1379.2792448833782
internal_373,-2040.9051107867047,-1295.917122888278
internal_375,-2104.831805501689,-1313.7945217057634
internal_378,-1931.4905844014481,-1380.1642510297127
internal_382,-2033.2546301296072,-1428.94467707926
internal_385,-2131.673173990619,-1456.6741782537586
internal_390,-1943.7132043355884,-1591.5529367308511
internal_393,-1845.1995116150392,-1469.0152322752303
internal_394,-1906.0220508690395,-1536.8489789679409
internal_395,-1915.3943117641993,-1499.3551397594733
internal_412,-1881.3331752380157,-1324.2723727040436
internal_415,-1873.0665553498668,-1288.8195108758837
internal_427,-1925.4975584400183,-1415.5517721006709
internal_184,-1910.9272529966272,-1351.3492522918887
internal_191,-1978.0221509375772,-1484.7036419565886
internal_194,-2102.0789165243013,-1510.6628153603049
internal_197,-2117.3680799523045,-1388.1300896411717
internal_203,-1804.6184270768829,-1376.4837570298157
internal_297,-1935.3439282173902,-1298.0848295095773
internal_312,-1870.7975269375147,-1486.7497291405107
internal_322,-1990.2220893942404,-1455.0509864541084
internal_333,-2030.344453966885,-1429.066048209892
internal_342,-2101.0213331558452,-1310.6253765215754
internal_343,-2169.1971219270654,-1294.294253389956
internal_354,-1801.452799904807,-1429.2751219285415
internal_357,-1836.3394433933427,-1537.8485164711315
internal_360,-1776.5534941639391,-1378.7050292533277
internal_374,-2112.905229975954,-1299.5763907543019
internal_377,-1911.355715638767,-1399.6292619685973
internal_381,-2019.6768325123678,-1446.0890164454495
internal_384,-2143.884473601027,-1450.6066036428963
internal_389,-1970.8981121917045,-1606.3714149944178
internal_392,-1806.154800257531,-1449.586574559655
internal_408,-1884.02142931452,-1398.28412863086
internal_411,-1869.8386574227054,-1268.998257945294
internal_414,-1875.2625539730143,-1284.441478957538
internal_426,-1928.35073556325,-1435.1046762009687
internal_183,-1908.5216536487553,-1346.5462190818862
internal_190,-1941.193260497867,-1496.379960004778
internal_193,-2128.6784870993256,-1496.5342296537845
internal_196,-2097.977043896367,-1392.419803367708
internal_236,-1871.0408293866312,-1213.2293905903512
internal_296,-1942.397948492883,-1303.4071964413226
internal_305,-1871.878848181004,-1489.827233804438
internal_311,-1838.4581852413835,-1510.2075372373645
internal_321,-2010.9680433686528,-1414.1571997316432
internal_324,-2038.1428179780469,-1484.4691127169372
internal_330,-2035.4290497248107,-1521.885729755107
internal_332,-2014.2378742986944,-1386.9034065191381
internal_336,-2112.8417714308657,-1296.4938226939475
internal_339,-2127.6368844827048,-1288.7549844288533
internal_341,-2066.959581300185,-1289.3864760996273
internal_353,-1800.661310312206,-1428.6199300900396
internal_359,-1768.4976925682158,-1351.2883270445104
internal_376,-1909.9552286664273,-1413.7317982669063
internal_406,-1886.9219276014985,-1477.2061187329653
internal_407,-1881.5923826884784,-1332.8727875122258
internal_410,-1866.8940316378241,-1211.184708353725
internal_413,-1872.7976044740476,-1295.4469692889331
internal_424,-1928.1114026741473,-1430.0497079843258
internal_425,-1945.5348080137182,-1572.4947530268175
internal_44,-1943.7434892207543,-1346.5371020913715
internal_93,-1934.4713372792082,-1279.4837358821635
internal_182,-1853.944623885536,-1351.228811025667
internal_188,-1866.027882039377,-1526.747808625905
internal_189,-1930.8794236975932,-1496.3384772389823
internal_192,-2166.0515468262315,-1468.8513552672896
internal_224,-1841.1820846364951,-1197.3352729717055
internal_235,-1852.1899360505927,-1180.122277189285
internal_283,-1953.0031255052845,-1319.5906519422977
internal_295,-1922.7862980760485,-1210.7762996855909
internal_304,-1842.4926640307654,-1462.772196998015
internal_310,-1792.6642635573896,-1539.7510585133714
internal_320,-2051.329285216377,-1391.0807979617318
internal_329,-2046.7604234873827,-1530.5186289498881
internal_331,-1998.1641636867566,-1346.9197774642212
internal_335,-2141.403420446807,-1314.8529907635207
internal_338,-2151.7708329954553,-1269.3172544595936
internal_340,-2069.10129671247,-1298.503895273499
internal_404,-1900.6646273244403,-1575.6762006418755
internal_405,-1905.3518469989474,-1374.911687404909
internal_409,-1866.8289139176827,-1196.837259816607
internal_423,-1929.0539798809486,-1437.4619898351198
internal_27,-1956.1151671497798,-1317.2068538515632
internal_43,-1981.8321971262815,-1441.5264303522006
internal_50,-2021.7059099860212,-1259.1075431676165
internal_57,-2037.6335193410937,-1252.7231011546305
internal_62,-1936.7387197843534,-1214.4477908895146
internal_85,-1925.568598934998,-1274.625998130419
internal_92,-1825.7454159563013,-1233.410503523086
internal_134,-1841.908768545923,-1354.365592492227
internal_181,-1842.1404502004088,-1349.7751358957175
internal_217,-1817.863820644573,-1196.7678649746567
internal_219,-1749.6604470637787,-1104.0393634904437
internal_220,-1794.8735664394176,-1175.506179044614
internal_222,-1998.387381592464,-1169.0776287193312
internal_223,-1808.1102258946146,-1330.4422836610768
internal_230,-1823.2145457377542,-1159.9137654738595
internal_234,-1865.4796501124963,-1177.1383787412437
internal_258,-1998.8407796328652,-1339.8505471001351
internal_282,-1957.3612319244503,-1352.3318590006218
internal_286,-1934.7536108160714,-1192.8824743097384
internal_291,-1914.7154547093073,-1209.5053593017315
internal_294,-1924.190188101703,-1191.4110307577637
internal_303,-1832.0343089658197,-1466.2261443127652
internal_308,-1790.5785154960688,-1575.9770814181068
internal_309,-1737.8320825333228,-1540.096126921709
internal_317,-2016.9226586621248,-1460.098615807366
internal_319,-2074.890178150425,-1352.9125871413098
internal_328,-2048.06654140598,-1548.999185297261
internal_334,-2148.609065643621,-1315.3251408618291
internal_337,-2138.669997030528,-1236.7787789934036
internal_419,-1950.9009965313326,-1466.9208430476745
internal_422,-1919.5790990180046,-1431.0172878167887
internal_25,-1970.133474009161,-1292.2189208747711
internal_26,-1962.4312499234252,-1279.2325402076588
internal_31,-1970.635374020776,-1451.0047418904574
internal_38,-2031.9743555065913,-1456.844415900109
internal_42,-1971.6927724791117,-1466.7728577385012
internal_47,-2047.8613955558358,-1236.7192226017578
internal_49,-2084.5360398667285,-1253.3715588729342
internal_56,-2068.657970692944,-1252.414470940124
internal_59,-2012.1911134578838,-1241.9969838734598
internal_61,-1879.5311939542444,-1145.272976246562
internal_73,-1975.8798441458223,-1381.3228128343292
internal_84,-1908.7661246102302,-1248.0821445509428
internal_91,-1790.6420347579342,-1207.9530400457047
internal_130,-1822.427822768653,-1332.9883438677314
internal_133,-1824.0037189786372,-1451.8042612617332
internal_158,-1800.0187443355956,-1361.4747817307639
internal_180,-1843.6354996519217,-1346.687857389429
internal_209,-1738.1562429640744,-1269.3667268736874
internal_211,-1766.269183446636,-1195.6261781250782
internal_214,-1828.6836436215522,-1180.8778343894699
internal_215,-1854.468742300094,-1211.0892784483215
internal_216,-1799.3231450968299,-1142.4277965030171
internal_218,-1744.6083236505099,-1093.3016405733647
internal_221,-2003.7452881845832,-1154.7913903638462
internal_227,-1815.9728498971656,-1148.323018780303
internal_229,-1793.430334178767,-1157.771695947208
internal_232,-1882.7072542602912,-1156.623863571615
internal_233,-1849.9653150118102,-1212.209057698287
internal_247,-2035.7472486575086,-1384.7378322694171
internal_257,-2007.622807858977,-1330.7810554861653
internal_268,-1925.1844331254542,-1404.028342356623
internal_281,-1966.4809828823672,-1353.3813338263246
internal_285,-1957.8708549892356,-1194.8215825667658
internal_290,-1936.782287939256,-1216.6670726324573
internal_292,-1933.8145486985761,-1193.4289626369114
internal_293,-1912.120978765776,-1168.549595730973
internal_300,-1918.9612336378939,-1623.0054385087074
internal_301,-1985.4692548774096,-1597.0104371115124
internal_302,-1844.5356681868086,-1301.1378300784058
internal_307,-1809.657299345672,-1596.7308325603367
internal_316,-2028.147194389646,-1508.1974997188265
internal_318,-2024.3241054207392,-1305.6521515485563
internal_326,-2040.6710446564898,-1569.9369851319634
internal_327,-2066.9341606375465,-1558.5787929500982
internal_418,-1957.4798029185465,-1471.3791126656606
internal_420,-1918.6569991938456,-1461.004129703143
internal_421,-1910.6220624004418,-1412.869821354949
internal_5,-1961.6286635963897,-1239.0193327117072
internal_19,-1989.4970515015482,-1314.5461684244653
internal_24,-1992.006544623741,-1274.4119702957285
internal_29,-2004.3948505825892,-1407.7909077403206
internal_30,-1903.2616883452877,-1532.2553862809852
internal_35,-2092.2316553149394,-1426.042156152133
internal_37,-2035.8638589704358,-1494.4684445584367
internal_39,-1862.159229314661,-1451.580577323088
internal_41,-2032.6093699564992,-1545.3645189618799
internal_46,-2063.7897848511057,-1224.4356639270104
internal_48,-2093.809323624436,-1239.6972343503949
internal_53,-2083.176354404505,-1261.231144404856
internal_55,-2142.5581038396954,-1251.871919681075
internal_58,-2036.0403757129095,-1238.4689513544317
internal_60,-1850.9292237085451,-1130.341677377279
internal_68,-1965.2605144357576,-1386.3803111089949
internal_72,-2071.59150865054,-1488.0428581480553
internal_83,-1906.0804345357312,-1220.7405548585757
internal_87,-1704.8268788601326,-1276.2408464233467
internal_90,-1790.1938695385918,-1174.0549642950273
internal_111,-1819.4996381837323,-1303.8868531852704
internal_129,-1807.9527596427333,-1364.4150645362677
internal_132,-1813.6495307888858,-1492.7119263658808
internal_147,-1779.3900106934766,-1326.1328639755318
internal_157,-1788.1062057789966,-1399.7068437480248
internal_178,-1843.137183712096,-1342.940754955735
internal_179,-1857.1989982391224,-1350.4873863307444
internal_210,-1739.6871529907976,-1182.2625235705636
internal_213,-1872.6195423961556,-1168.2235490436308
internal_226,-1782.9317742640967,-1149.1894111308325
internal_228,-1827.9954903619955,-1146.727043052731
internal_231,-1871.671239324786,-1137.8174697576876
internal_246,-2040.793172466685,-1401.9471450146532
internal_254,-2026.1910070351412,-1356.5913776400537
internal_256,-2001.7645079191254,-1285.2118016010081
internal_266,-1916.0753653920733,-1440.0554403057852
internal_267,-1913.977707080973,-1406.2416092543024
internal_279,-1969.059423750155,-1356.2409272827497
internal_280,-2011.7083069841965,-1353.1066800307071
internal_284,-2016.1508424340525,-1213.1756413490662
internal_288,-1886.0487890881434,-1207.8070179822996
internal_289,-2035.9454068624825,-1239.2323847972614
internal_306,-1878.6493585928924,-1632.3327814863426
internal_314,-2043.5955759995231,-1552.2401733636304
internal_315,-2029.166611214942,-1537.0876249473686
internal_325,-2029.098414325966,-1579.5070951749128
internal_3,-1954.1720613567918,-1205.288650443812
