,Dim_0,Dim_1
internal_1197,-1912.9316499110273,-1242.803624908512
internal_1142,-1938.7132343596907,-1291.7921981763016
internal_1245,-1952.2853705084124,-1371.268605751394
internal_1243,-1994.8151107584063,-1384.7334124773479
internal_841,-1926.490103456017,-1261.8449182434288
internal_980,-1850.3077917633816,-1411.2377970196742
internal_963,-1919.2051349416042,-1456.0398773045677
internal_966,-2157.5340088336116,-1327.9607727086109
internal_957,-2078.5123647138043,-1432.393702724588
internal_958,-2027.5175043266856,-1493.930220667045
internal_931,-1973.257601633751,-1363.6766894417115
internal_935,-1932.694408418453,-1397.9756955604578
internal_954,-1909.047708048566,-1573.1349502299552
internal_949,-1888.2623736316048,-1488.2757333874042
internal_924,-1871.4941164445866,-1296.090063053559
internal_922,-1947.9525877074063,-1428.4460443650041
internal_865,-1915.2757340280389,-1357.109836718224
internal_867,-1918.2389045399739,-1374.2412012163918
internal_907,-1859.9408089326228,-1370.2930279375964
internal_906,-1897.302882657904,-1320.9476036223873
internal_911,-1896.8512435298085,-1325.692098938726
internal_898,-2104.440193569119,-1446.2421353747643
internal_900,-2146.0810717383456,-1401.2726581974005
internal_1661,-1794.086200494057,-1215.2011923581292
internal_1652,-1893.0453431515784,-1191.3883310658666
internal_1641,-1856.4930442590355,-1203.7683665518784
internal_1643,-1797.5734036863741,-1178.480039705609
internal_1521,-1840.9053726325906,-1199.2481316883213
internal_1520,-1950.185278620567,-1250.1241247185646
internal_1405,-1995.2339016769504,-1269.3775771810185
internal_1406,-1952.4883947385754,-1290.3314218822118
internal_1447,-2025.9677923601514,-1402.7834102893078
internal_1501,-1981.2221870072244,-1271.7609498744448
internal_1475,-2018.5947403985467,-1307.1751655688404
internal_1492,-1991.0266070848202,-1209.5007127733995
internal_1383,-1857.6654022994514,-1342.6850304793343
internal_1382,-1796.505461086891,-1389.3418420204723
internal_1396,-1834.7697165668883,-1442.9586310242094
internal_1393,-1815.4735563802371,-1330.6810766576875
internal_1390,-1876.5318163418503,-1359.5868093769823
internal_1395,-1886.17894669225,-1527.298971863059
internal_1375,-1852.6692770673078,-1244.3989311056464
internal_1369,-1821.8139225136426,-1438.7867947356183
internal_1364,-1823.5956851656556,-1466.1026801193627
internal_1366,-1792.1190556623608,-1438.4348608192424
internal_1631,-1787.2285534250836,-1216.0087550864077
internal_1633,-1754.0039280778453,-1336.19347566907
internal_1626,-1817.1362615321802,-1275.4769266248823
internal_1625,-1783.1236651467696,-1374.8752343120193
internal_1551,-1778.402666930957,-1333.106100588813
internal_1537,-1759.4198636556273,-1368.3210052913923
internal_1531,-1821.0554184794748,-1391.212059189847
internal_1535,-1743.5979848030709,-1431.8875616746534
internal_1558,-1781.864347235353,-1297.8548844753134
internal_1544,-1782.6750662601273,-1420.5778035389058
internal_1545,-1801.5655594147465,-1385.5000354112635
internal_1614,-1769.838375820887,-1432.1669184157788
internal_1566,-1774.2326435872808,-1375.3079849031114
internal_1577,-1798.2191365589433,-1341.9241969138534
internal_1581,-1791.4894601003236,-1398.8965372488294
internal_1563,-1766.238891076919,-1326.1067643381846
internal_1607,-1811.8280374167794,-1358.6333036406174
internal_1603,-1821.6768320739989,-1267.7828583000964
internal_1323,-1959.666389425157,-1261.6234987624682
internal_1046,-1945.0501278163715,-1430.6090498337082
internal_994,-1948.0421450673941,-1435.3499620628168
internal_1107,-1979.7783143968097,-1458.800859090634
internal_1111,-1888.5209405405483,-1488.1932194000342
internal_1121,-1958.5818788097902,-1424.1159831131263
internal_1115,-2006.8934630950803,-1410.7564699509853
internal_1127,-2084.536028413014,-1460.8478497631377
internal_1129,-1873.4655480210731,-1316.6212429181817
internal_1138,-1931.337893208688,-1336.120069333536
internal_1198,-1870.2959223085243,-1201.3854238663173
internal_1227,-1936.772737080452,-1215.9510688365783
internal_1165,-1975.158436660869,-1339.3442719501393
internal_1143,-1917.369793795711,-1253.0924787597635
internal_1254,-1932.639966235057,-1371.5851486631611
internal_1246,-1957.9680274283598,-1374.6089591778239
internal_1244,-1988.3868167458131,-1406.865320362375
internal_1292,-2026.3205532813413,-1379.9913803864
internal_842,-1960.4200364273936,-1221.250385917624
internal_979,-1855.8448806293113,-1420.9289335412248
internal_933,-2005.0180350912333,-1445.1436761049347
internal_937,-1933.8185274566033,-1410.0979535984886
internal_950,-1765.252598653634,-1408.9781442878239
internal_951,-1903.3112056467808,-1510.9746351344918
internal_947,-1917.0445127645228,-1528.504270629574
internal_945,-1899.2651185982995,-1490.6579710222468
internal_923,-1968.101901525144,-1466.0219516607115
internal_873,-1905.6154612234461,-1355.775523505819
internal_869,-1910.8483551926447,-1362.5398348188937
internal_870,-1925.0594188435725,-1396.8902774317792
internal_908,-1835.66411545212,-1434.424440388992
internal_909,-1873.456222115759,-1212.2156445864875
internal_915,-1911.1623736993706,-1370.5948991505031
internal_914,-1874.9868765060592,-1320.3957740375342
internal_912,-1912.485616001434,-1312.7924607256798
internal_899,-2132.5486414185,-1436.3062935226685
internal_901,-2159.3909021136974,-1363.581172537378
internal_1644,-1753.7147890400927,-1142.965290764404
internal_1522,-1803.0813680231595,-1194.5914213891206
internal_1524,-1839.3271391496094,-1165.7459882526732
internal_1504,-1950.1070696278937,-1259.2181268606607
internal_1510,-1973.8223395134696,-1237.941626023906
internal_1437,-2007.1108508831685,-1265.9038957436428
internal_1438,-2047.470628632933,-1255.4563412988543
internal_1407,-1990.6077895509663,-1377.8368028103685
internal_1423,-1897.4479510318456,-1222.7423628002841
