,Dim_0,Dim_1
internal_695,-1926.2183241507169,-1329.9782108045697
internal_698,-1919.6924250185502,-1403.3759230436453
internal_699,-1925.5079252595553,-1321.949684457263
internal_701,-1924.9487068832038,-1328.4576064889382
internal_982,-1954.7284609924466,-1254.9654147010706
internal_1246,-1957.4824821409827,-1440.0260834890087
internal_1280,-1916.6467848315926,-1359.1110291947884
internal_1376,-1926.5480479844027,-1310.7779129159248
internal_983,-1937.659025366695,-1341.6286259793242
internal_919,-1909.360889579826,-1311.8960906975747
internal_1256,-1866.7812677913312,-1443.824741780569
internal_1248,-2025.312116575275,-1446.9501155751639
internal_1281,-1930.3664905587534,-1359.88937890271
internal_1277,-1903.861846844131,-1371.9740925530166
internal_1377,-1924.701518551753,-1302.7494894211718
internal_984,-1960.5760840364633,-1416.0967058507306
internal_985,-1938.897614939559,-1338.527262421683
internal_704,-1890.31596007665,-1321.5512644543273
internal_707,-1916.4903139888806,-1282.6564616000724
internal_1261,-1842.747414801158,-1450.5429621456433
internal_1269,-1817.1582488169424,-1435.0092193196704
internal_1247,-2051.5291352739787,-1469.4501692741105
internal_1249,-2051.615504643216,-1437.8999638377863
internal_1331,-1914.413484676278,-1352.6877261194406
internal_1283,-1953.215174713789,-1374.4536116565725
internal_1278,-1899.6232112758503,-1372.0356926618786
internal_1380,-1924.3220959090415,-1352.6000004685507
internal_1379,-1923.3976458968098,-1284.1700672711197
internal_1225,-2012.3249866163824,-1483.1132720752953
internal_1224,-1951.5199187923524,-1427.7823838057607
internal_1043,-1961.9474756309705,-1357.6852159067698
internal_991,-1919.685719764293,-1297.2517767348374
internal_711,-1836.3520831365115,-1357.292092963154
internal_705,-1906.9904572061384,-1307.040005669668
internal_943,-1929.9860141464821,-1287.1628984889494
internal_713,-1878.5487176367724,-1217.0415495279656
internal_1257,-1825.0142719843484,-1447.434519301601
internal_1263,-1833.477530906906,-1370.968819360382
internal_1264,-1840.4534298060883,-1510.2979084801332
internal_1270,-1785.4267934499762,-1385.2728125577835
internal_1273,-2074.2774635637516,-1515.717131694579
internal_1272,-2096.7459053919465,-1466.0836038321581
internal_1253,-2103.8726722773163,-1420.1740583697688
internal_1355,-1925.3768209506427,-1385.7729214220524
internal_1332,-1901.650574974461,-1334.5083865394317
internal_1284,-1981.52142667744,-1371.002337883283
internal_1311,-1894.6578495569481,-1438.51935374796
internal_1279,-1868.5988773934444,-1384.1797325628197
internal_1381,-1925.7815495086393,-1398.430917871708
internal_1378,-1912.3271879803956,-1275.6239486435356
internal_1383,-1963.7198143375024,-1226.8996155470466
internal_1233,-2077.047221718633,-1493.1466081070305
internal_1243,-1936.9992129715367,-1497.461557772581
internal_1226,-1950.339292768251,-1418.464887265686
internal_1231,-1930.4144002260039,-1483.663207528118
internal_1084,-1966.841721965988,-1361.0198313883532
internal_1044,-2000.037802302775,-1391.2078811280307
internal_988,-1941.8723816003203,-1341.8530609505312
internal_989,-1896.0229712985174,-1247.9203947416981
internal_709,-1823.7151217105531,-1352.4658731133848
internal_710,-1805.3758128712175,-1434.3039662012166
internal_706,-1923.6797913123057,-1294.047667555608
internal_702,-1893.1074381664284,-1315.7932377885552
internal_944,-1955.2961400002146,-1297.3493169959597
internal_717,-1873.0539620677828,-1168.0489856465315
internal_716,-1853.4044414991533,-1201.441059861453
internal_1258,-1791.4399043180065,-1450.4541797184563
internal_1260,-1807.3194716452938,-1433.7515136037107
internal_1267,-1829.8462582085126,-1359.3802744832765
internal_1265,-1878.0966515713242,-1570.473930216457
internal_1271,-1769.350043461869,-1347.8421685115484
internal_1274,-2108.160435980866,-1543.2566362388034
internal_1275,-2072.265857829357,-1536.7751324196995
internal_1276,-2092.3863854503347,-1510.8331545161332
internal_1251,-2077.218947628891,-1468.2188380292696
internal_1254,-2126.777964738708,-1404.3451533750515
internal_1356,-1934.2500887306467,-1386.3952742531192
internal_1357,-1930.3240978408069,-1419.309238169449
internal_1334,-1892.0602072382378,-1324.1804028361555
internal_1333,-1889.2748602858944,-1314.0763599227637
internal_1300,-2032.878116056561,-1398.8897443039173
internal_1285,-1990.9881634435078,-1340.2383730220874
internal_1328,-1856.1356339340973,-1414.9404317710387
internal_1312,-1899.5790813246315,-1484.9060962346282
internal_1382,-1920.9807185376017,-1405.482069364119
internal_1386,-1905.9851045780847,-1278.6474756843118
internal_1384,-1978.353702827625,-1201.8747198719427
internal_1234,-2102.909819835431,-1520.8901051682362
internal_1235,-2140.796775779654,-1472.3149505921222
internal_1244,-1901.646367517919,-1518.5777536052983
internal_1227,-1976.3527609821924,-1441.4802259283695
internal_1212,-1919.930414485582,-1384.408182490489
internal_1105,-1957.91021461412,-1364.4599440290806
internal_1123,-2032.821036107412,-1355.4643592112136
internal_1045,-2004.18079320114,-1385.2714193056156
internal_1050,-2002.8351576579287,-1453.870621304711
internal_986,-1917.698173470172,-1258.0638234939802
internal_1042,-1946.9387108703077,-1355.0522409988123
internal_992,-1886.8703167543288,-1219.621176502528
internal_1029,-1854.3568830299043,-1173.7362848045134
internal_785,-1822.1802879730083,-1349.4078090082921
internal_822,-1794.0025007285722,-1356.785772448897
internal_708,-1759.5083346230674,-1465.2283370985667
internal_779,-1806.9893456413042,-1492.5871023423629
internal_875,-1950.8599096011694,-1282.9869607216108
internal_866,-1928.57501340325,-1284.0868017243383
internal_703,-1907.0082015029773,-1284.1943598434293
internal_945,-1935.2572162116833,-1164.2602926669908
internal_954,-1991.0296153006989,-1351.452150842199
internal_724,-1896.0398504058555,-1141.1800256004333
internal_727,-1863.3897681321841,-1164.923618764083
internal_714,-1723.3841161842383,-1202.8498858563707
internal_1259,-1785.063700116375,-1420.9035719008693
internal_1255,-2141.4775828865313,-1382.0210292585555
internal_1358,-1931.5519752553935,-1443.4574319690662
internal_1359,-1933.9981153860756,-1429.157508404076
internal_1354,-1892.5925895047749,-1377.7818059134454
internal_1349,-1875.4629020198965,-1289.789119156823
internal_1346,-1868.3908571251363,-1242.1650665073876
internal_1336,-1889.8971885566552,-1394.6655805449425
internal_1368,-1882.1640446382246,-1284.227329747016
internal_1302,-2029.6451609043243,-1420.2726440661693
internal_1301,-2084.744454580844,-1408.603007093775
internal_1286,-1987.8469177847826,-1341.0650672845595
internal_1330,-1868.0558450608578,-1406.1478073633227
internal_1329,-1751.8105109169107,-1400.3126298788534
internal_1321,-1901.7140175944712,-1503.1412252208536
internal_1388,-1898.515654403942,-1254.742426214876
internal_1387,-1904.9966838520945,-1301.1687024034034
internal_1245,-2008.3594607436492,-1555.1351482303294
internal_1237,-2071.3189421619586,-1438.9719797429145
internal_1228,-1933.0797768700868,-1471.1613235349928
internal_1216,-1891.1212957499276,-1401.7540199673433
internal_1223,-1989.2580028590182,-1374.9012666128417
internal_1106,-1966.775415952069,-1354.2867704057048
internal_1085,-1908.464479167202,-1398.3876452888694
internal_1046,-2011.566803323003,-1382.2321633773865
internal_1067,-2014.9335979282398,-1360.3375434782085
internal_1062,-2058.4211708982843,-1399.6124400595538
internal_987,-1926.406000598314,-1164.4291284684168
internal_1182,-2026.4434964241248,-1378.164891384453
internal_1143,-1934.0590453028765,-1370.1296345412352
internal_990,-1909.1752788299154,-1214.815232297575
internal_993,-1855.3271118040143,-1196.190481913637
internal_1030,-1850.6828756761302,-1162.5588600812766
internal_1036,-1824.7791396822975,-1140.3712547609216
internal_853,-1834.2647094233628,-1325.5710561671256
internal_712,-1803.2183637372293,-1366.556347638524
internal_787,-1776.5893687549938,-1325.5774247290685
internal_786,-1785.4896714021988,-1410.8850699939035
internal_780,-1816.0941216728584,-1509.2911856928054
internal_854,-1954.505585671648,-1263.3516501412805
internal_893,-1921.7117381443697,-1236.0785315617265
internal_876,-1951.9175940740488,-1347.6671018212323
internal_950,-1937.7893805954786,-1145.285218647744
internal_946,-1927.4688672177576,-1143.928040905339
internal_955,-2003.8073477177168,-1354.5744580811859
internal_920,-2008.7148134450822,-1452.3314061379572
internal_728,-1871.83640821566,-1118.5166431343655
internal_725,-1936.172892294754,-1123.4362114216851
internal_718,-1856.5233687755706,-1180.301885186453
internal_730,-1801.141260086065,-1079.4970926243543
internal_715,-1693.610057770138,-1210.5862642797026
internal_1367,-1949.8743710408087,-1607.190383292267
internal_1361,-1926.5092896735898,-1438.8409219907655
internal_1360,-1973.839854469182,-1397.189690717955
internal_1350,-1874.1538040974588,-1286.2642194463838
internal_1347,-1867.1870944419043,-1203.3200290389343
internal_1337,-1894.4541432993913,-1459.7111632899557
internal_1343,-1884.7643287076378,-1347.9016371072116
internal_1369,-1891.1656851244152,-1259.7349995522625
internal_1305,-2036.7520381397462,-1419.4160390290517
internal_1303,-2013.5046653360964,-1451.5762486820418
internal_1307,-2111.9114362424243,-1430.3596700045
internal_1288,-2051.2134278883223,-1306.4682299775718
internal_1290,-1910.516845688337,-1380.1028749021443
internal_1318,-1912.3127494175678,-1523.71627094573
internal_1324,-1894.984970406708,-1504.1070417872347
internal_1240,-2067.4326283221058,-1461.1631766507223
internal_1241,-2109.8769646084543,-1379.9502398430373
internal_1229,-1867.3324437473377,-1524.7594111732394
internal_1215,-1861.5837324274835,-1419.6048573689438
internal_1221,-1875.3586256876486,-1411.2397987060594
internal_1107,-1970.8785815478345,-1356.947091911006
internal_1104,-1895.1878987103573,-1405.9344095145525
internal_1086,-1896.8761274302055,-1407.2123863874049
internal_1047,-2002.0111540540477,-1384.1561969864051
internal_1068,-2034.153677873117,-1404.586440583883
internal_1083,-2023.1121469629193,-1247.3689991105225
internal_1053,-2069.8110503283438,-1381.9278960144834
internal_1052,-2094.9281967613806,-1424.3652866943478
internal_1183,-2032.2385222356102,-1420.63390440662
internal_1196,-2074.6910169763996,-1333.49729879624
internal_1124,-1914.7213455762258,-1232.3272098372865
internal_1144,-1926.6100717925744,-1404.311430044879
internal_998,-1803.996618251015,-1199.5302245550824
internal_999,-1863.6009978490927,-1181.1455711708038
internal_1031,-1843.4450226648967,-1169.9133617818923
internal_1032,-1873.0567040686515,-1138.9211069859805
