,Dim_0,Dim_1
internal_30,1141.0976166132723,880.7611511390619
internal_36,1154.7896566822142,835.993746453652
internal_31,1083.2699104042676,1069.8342412594884
internal_43,1124.4169427604809,751.4110374722585
internal_44,1236.9474531724875,807.3449485302546
internal_51,978.4451629613905,1306.3519844025848
internal_33,1092.249002127155,1074.4054335967385
internal_41,970.2575795422608,797.1567193207421
internal_47,1119.3033796404388,691.230397931587
internal_38,1432.188701184451,873.21558156734
internal_35,1027.7859442244362,1559.6010351473458
internal_53,750.1627843178105,1453.7435110700096
internal_55,1069.502587130766,1131.2697947890479
internal_50,1121.5651700725548,1055.9998778787378
internal_48,941.6967122906709,767.5344248188032
internal_39,1085.0424770041127,598.4404352691537
internal_37,1136.6778429901294,544.2120855253534
internal_49,1545.8677380534862,837.0658100834564
internal_52,1245.4404357791568,1645.1474194654998
internal_34,694.6123234085129,1445.4061028562348
internal_56,949.5504044704522,1204.3944616904805
internal_54,1108.9972767932018,1055.2717957000093
internal_42,981.7470285490181,598.7018515661256
internal_40,1136.9571825299834,463.1063137969191
internal_46,1183.0139703187583,516.6946260211074
internal_32,1048.30740717596,1212.8734490900533
internal_58,1111.9394027869603,986.3851191688639
internal_45,1053.6773387145583,1211.756280412897
internal_57,1194.528723108006,919.5813911475376
